state,city,klan_number,nickname,notes,latitude,longitude,year
Alabama,Birmingham,1,R. E. Lee Klan,may be the oldest functioning Klan in the Invisible Empire,33.5206608,-86.80249,1924
Alabama,Bessemer,2,Niles Burnett Klan,No Notes,33.4017766,-86.954437,1926
Alabama,Montgomery,3,Not Named,No Notes,32.3668052,-86.2999689,1923
Alabama,Anniston,4,Not Named,No Notes,33.6598257,-85.8316318,1924
Alabama,Birmingham,6,Nathan Bedford Forrest Klan,No Notes,33.5206608,-86.80249,1924
Alabama,Huntsville,9,Not Named,No Notes,34.7303688,-86.5861037,1931
Alabama,Mobile,11,Not Named,No Notes,30.6953657,-88.0398912,1931
Alabama,Stevenson,12,Not Named,No Notes,34.8686932,-85.8394199,1923
Alabama,Tuscaloosa,14,Jack Jolly Klan,No Notes,33.2098407,-87.5691735,1923
Alabama,Sumpter,24,Not Named,No Notes,32.6155551,-88.2461183,1924
Alabama,Ensley,31,Not Named,No Notes,33.5089695,-86.8997918,1924
Alabama,Vincent,34,Not Named,No Notes,33.3845537,-86.411924,1923
Alabama,Jasper,43,Joe Wheeler Klan,No Notes,33.8312185,-87.2775053,1926
Alabama,Luverne,51,Not Named,No Notes,31.7165455,-86.2638492,1923
Alabama,Louisville,57,Not Named,No Notes,31.7834963,-85.5557751,1923
Alabama,Birmingham,59,Avondale Park Klan,No Notes,33.5206608,-86.80249,1923
Alabama,Birmingham,60,Nathan Bedford Forrest Klan,"will break ground on $75,000 Klavern on 15 October 1924.",33.5206608,-86.80249,1923
Alabama,Sheffield,63,Stonewall Jackson Klan,No Notes,34.7650887,-87.6986407,1923
Alabama,Oneonta,66,Not Named,No Notes,33.9481537,-86.472764,1923
Alabama,Eufala,68,Not Named,No Notes,31.8912717,-85.1454876,1924
Alabama,Akron,71,Not Named,No Notes,32.8765165,-87.7425105,1923
Alabama,Florence,73,Not Named,No Notes,34.79981,-87.677251,1923
Alabama,Phoenix City,77,Not Named,No Notes,32.4709761,-85.0007653,1923
Alabama,Auburn,84,James H. Lane Klan,No Notes,32.6098566,-85.4807825,1923
Alabama,Athens,86,Not Named,No Notes,34.8028661,-86.9716741,1923
Alabama,Scottsboro,92,Not Named,No Notes,34.6723069,-86.0341463,1924
Alabama,Mobile,108,Not Named,No Notes,30.6953657,-88.0398912,1924
Alabama,Collinsville,125,Not Named,No Notes,34.2639821,-85.8605251,1931
Alabama,Pisgah,133,Not Named,No Notes,34.685022,-85.846575,1924
Alabama,Edwardsville,141,Hopewell Klan,No Notes,33.7073272,-85.5091235,1929
Alabama,Florala,144,Not Named,No Notes,31.007712,-86.324957,1925
Alabama,Foley,186,Not Named,No Notes,30.4065868,-87.6835974,1929
Alabama,Bessemer,0,Miles Burnett Klan,No Notes,33.4017766,-86.954437,1924
Alabama,Birmingham,1,Not Named,No Notes,33.5206608,-86.80249,1916
Alabama,Montgomery,3,Not Named,No Notes,32.3668052,-86.2999689,1918
Alabama,Anniston,4,Not Named,No Notes,33.6598257,-85.8316318,1919
Alabama,Guntersville,41,Marshall County Klan,No Notes,34.3705827,-86.3853327,1925
Alabama,Tuskegee,81,Cullen A. Battle Klan ,No Notes,32.4520234,-85.7852334,1920
Alaska,Anchorage,1,Mt. McKinley Klan,No Notes,61.2180556,-149.9002778,1926
Alaska,Juneau,2,Not Named,Mount Juneau Klan gets charter,58.3019444,-134.4197222,1926
Alaska,Ketchikan,3,Not Named,No Notes,55.3422222,-131.6461111,1926
Alaska,Cordova,4,Not Named,No Notes,60.5424087,-145.7525414,1931
Alaska,Petersburg,5,Not Named,No Notes,56.8125,-132.9555556,1931
Alaska,Fairbanks,6,Not Named,No Notes,64.8377778,-147.7163889,1931
Alaska,Seward,8,Not Named,No Notes,60.1041667,-149.4422222,1931
Alaska,Skagway,9,Not Named,No Notes,59.4583333,-135.3138889,1931
Alaska,Wrangell,10,Not Named,No Notes,56.4708333,-132.3766666,1931
Alaska,Haines,11,Not Named,No Notes,59.2358333,-135.445,1931
Arizona,Tucson,2,Not Named,No Notes,32.2217429,-110.926479,1924
Arizona,Yuma,5,Not Named,No Notes,32.6926512,-114.6276916,1923
Arizona,Grand Canyon,9,Kanyon Klan,No Notes,36.0544445,-112.1401108,1927
Arizona,Winslow,11,Moqui Klan,No Notes,35.0241873,-110.6973571,1924
Arizona,Prescott,14,Not Named,No Notes,34.5400242,-112.4685025,1924
Arizona,Bisbee,15,Not Named,No Notes,31.4481547,-109.9284084,1923
Arizona,Tombstone,20,Cochise Klan,No Notes,31.7128683,-110.0675764,1924
Arizona,Ajo,21,Not Named,No Notes,32.3717248,-112.8607099,1931
Arizona,Phoenix,22,Not Named,"Jackson, 185",33.4483771,-112.0740373,1926
Arizona,Douglas,25,Not Named,chartered 1926,31.3445471,-109.5453447,1931
Arizona,Benson,26,Strongholt [sic] Klan,No Notes,31.9678611,-110.2945174,1927
